"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1842","RT @drshamamohd: SC has said that it is not the right body to decide #RafaleDeal pricing.

This is the reason @INCIndia has been demanding…",FALSE,0,NA,2018-12-14 14:40:42,FALSE,NA,"1073588596047630336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jubinkk",187,TRUE,FALSE,NA,NA
"1843","RT @JhaSanjay: Massive !! Has the Narendra #Modi government stooped so low as to wilfully mislead and lie to the Supreme Court? #RafaleScam…",FALSE,0,NA,2018-12-14 14:40:42,FALSE,NA,"1073588594982436865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FahadullahMd",202,TRUE,FALSE,NA,NA
"1844","#Mumbai has never seen such massive Infrastructure since independence. Salute @Dev_Fadnavis and @narendramodi <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>
D… https://t.co/VA6i7kFW96",FALSE,126,NA,2018-12-14 14:40:19,TRUE,NA,"1073588501705252869",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RatanSharda55",60,FALSE,FALSE,NA,NA
"1845","RT @NH_India: #RJD leader Tejashwi Yadav, dared #PrimeMinister Narendra #Modi to form a Joint Parliamentary Committee (JPC) to probe the pu…",FALSE,0,NA,2018-12-14 14:40:19,FALSE,NA,"1073588500191039488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Punam32141035",351,TRUE,FALSE,NA,NA
"1846","RT @JhaSanjay: Massive !! Has the Narendra #Modi government stooped so low as to wilfully mislead and lie to the Supreme Court? #RafaleScam…",FALSE,0,NA,2018-12-14 14:40:16,FALSE,NA,"1073588488610541569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harry1_samm",202,TRUE,FALSE,NA,NA
"1847","RT @JhaSanjay: Massive !! Has the Narendra #Modi government stooped so low as to wilfully mislead and lie to the Supreme Court? #RafaleScam…",FALSE,0,NA,2018-12-14 14:40:07,FALSE,NA,"1073588449460928512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angie_tribecaa",202,TRUE,FALSE,NA,NA
"1848","RT @Samvaidhaanik: People say that because there is no alternative of #Modi, so we should rather vote for #Modi only.

Guys, alternative of…",FALSE,0,NA,2018-12-14 14:39:52,FALSE,NA,"1073588386684911617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VikramG94100647",4,TRUE,FALSE,NA,NA
"1849","RT @drshamamohd: #BJP before #RafaleVerdict - It is for experts to review #RafaleDeal, not the SC.

BJP after SC agrees that it isn't the r…",FALSE,0,NA,2018-12-14 14:39:50,FALSE,NA,"1073588378392780801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","munaaf31",55,TRUE,FALSE,NA,NA
"1850","RT @JhaSanjay: BIG QUESTION: Is the #Modi government guilty of perjury? Has it misled the Supreme Court deliberately? This is scandalous. h…",FALSE,0,NA,2018-12-14 14:39:49,FALSE,NA,"1073588375385452544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wilson_vanaja",136,TRUE,FALSE,NA,NA
"1851","RT @JhaSanjay: BIG QUESTION: Is the #Modi government guilty of perjury? Has it misled the Supreme Court deliberately? This is scandalous. h…",FALSE,0,NA,2018-12-14 14:39:49,FALSE,NA,"1073588373397360641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aniket_nemad",136,TRUE,FALSE,NA,NA
"1852","@_NAN_DINI @BJP4India @RahulGandhi It seems Rafael might turn into 2002 number 2. No matter what govt or Supreme Co… https://t.co/pm0n1cuW15",FALSE,0,"_NAN_DINI",2018-12-14 14:39:49,TRUE,"1073545183017480198","1073588372969525249","2211089653","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Conscientiouspg",0,FALSE,FALSE,NA,NA
"1853","RT @RatanSharda55: But #Modi ji ne kya Kiya... Our friends will ask <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>
https://t.co/TKTxo1MGCt",FALSE,0,NA,2018-12-14 14:39:41,FALSE,NA,"1073588342615289856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saxenaa14",848,TRUE,FALSE,NA,NA
"1854","RT @JhaSanjay: Massive !! Has the Narendra #Modi government stooped so low as to wilfully mislead and lie to the Supreme Court? #RafaleScam…",FALSE,0,NA,2018-12-14 14:39:29,FALSE,NA,"1073588291587301376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","bewithswami",202,TRUE,FALSE,NA,NA
"1855","RT @Samvaidhaanik: #BJP &amp; #Modi Govt should not construe jurisdictional inability of the #SupremeCourt to not go into #Rafale pricing, as t…",FALSE,0,NA,2018-12-14 14:39:26,FALSE,NA,"1073588277331062784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VikramG94100647",1,TRUE,FALSE,NA,NA
