"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1788","RT @Awhadspeaks: Nehru 
Indira.Gandhi
Rajiv.Gandhi 
Did not have this to their credit 
Now #Modi has it #Congrats

First time in 70 years G…",FALSE,0,NA,2018-12-10 16:27:24,FALSE,NA,"1072165895634587648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngiraGirbide",51,TRUE,FALSE,NA,NA
"1789","RT @JhaSanjay: Name-change alert; now it is called Reserve Bunk of India. Congratulations Mr #Modi!",FALSE,0,NA,2018-12-10 16:27:20,FALSE,NA,"1072165881667477504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Golden01577203",177,TRUE,FALSE,NA,NA
"1790","RT @drshamamohd: Cabinet Minister #UpendraKushwaha quits, saying that PM #Modi did not live upto people's expectations.

He also said inves…",FALSE,0,NA,2018-12-10 16:26:31,FALSE,NA,"1072165673676218368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","docpaps8",198,TRUE,FALSE,NA,NA
"1791","RT @JhaSanjay: #Modi has destroyed our country. For him, #RBI is just collateral damage. #UrjitPatel",FALSE,0,NA,2018-12-10 16:26:23,FALSE,NA,"1072165639832236032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Faisalsaye",109,TRUE,FALSE,NA,NA
"1792","One anti #modi, anti #bjp, anti center politician who has congratulated or appreciated the #ModiGetsMallya verdict?… https://t.co/8P2pELAQkm",FALSE,1,NA,2018-12-10 16:26:22,TRUE,NA,"1072165635814187010",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rahulwho_",0,FALSE,FALSE,NA,NA
"1793","RT @drshamamohd: Cabinet Minister #UpendraKushwaha quits, saying that PM #Modi did not live upto people's expectations.

He also said inves…",FALSE,0,NA,2018-12-10 16:26:20,FALSE,NA,"1072165629887541249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","letsbrewlife",198,TRUE,FALSE,NA,NA
"1794","RT @SanjaySDutt: After EC, CVC, CBI, ED, Lokpal &amp; SC, #Modi Govt destroys the autonomy &amp; credibility of one more institution, by forcing ex…",FALSE,0,NA,2018-12-10 16:26:06,FALSE,NA,"1072165571775541248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thasanraj",78,TRUE,FALSE,NA,NA
"1795","RT @SanjaySDutt: After EC, CVC, CBI, ED, Lokpal &amp; SC, #Modi Govt destroys the autonomy &amp; credibility of one more institution, by forcing ex…",FALSE,0,NA,2018-12-10 16:24:55,FALSE,NA,"1072165270834229250",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BalaRajangam",78,TRUE,FALSE,NA,NA
"1796","RT @scroll_in: #ScrollInterview 

‘The BJP MPs want to voice grievances but are frightened into silence’: @MPSavitriBai https://t.co/5nw0kk…",FALSE,0,NA,2018-12-10 16:24:35,FALSE,NA,"1072165187652771843",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GoutamD58855491",19,TRUE,FALSE,NA,NA
"1797","RT @JhaSanjay: #Modi has destroyed our country. For him, #RBI is just collateral damage. #UrjitPatel",FALSE,0,NA,2018-12-10 16:23:56,FALSE,NA,"1072165025907920897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajeshSheokandh",109,TRUE,FALSE,NA,NA
"1798","RT @drshamamohd: Banker Uday Kotak says #demonetisation was poorly executed.

Economists, Businessmen, Bureaucrats, Bankers &amp; accomplished…",FALSE,0,NA,2018-12-10 16:23:55,FALSE,NA,"1072165021440864257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sensible280877",179,TRUE,FALSE,NA,NA
"1799","RT @SocioPoliticalW: @prit_inc @Nikhil_P_B Not surprising, people already get the sense- ""on which way, wind is blowing'? If, tomorrow, #El…",FALSE,0,NA,2018-12-10 16:23:39,FALSE,NA,"1072164951916109827",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nikhil_P_B",2,TRUE,FALSE,NA,NA
"1800","RT @kalidev4: If @BJP4India the 5 Assembly polls,is it GoodBye @narendramodi in 2019?

@PMOIndia @Oneindia #BJP #BREAKING #BreakingNews @Su…",FALSE,0,NA,2018-12-10 16:23:27,FALSE,NA,"1072164903501230080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kalidev4",1,TRUE,FALSE,NA,NA
"1801","RT @KannaPhaneendra: Meeting of 1st ever JAI (Japan, America , India) trilateral: The rising #India earns respect from world powers. #JAI w…",FALSE,0,NA,2018-12-10 16:23:22,FALSE,NA,"1072164880793387016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MingaKiran",3,TRUE,FALSE,NA,NA
"1802","If @BJP4India the 5 Assembly polls,is it GoodBye @narendramodi in 2019?

@PMOIndia @Oneindia #BJP #BREAKING… https://t.co/DrgjAF2cz6",FALSE,1,NA,2018-12-10 16:23:20,TRUE,NA,"1072164872723394560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kalidev4",1,FALSE,FALSE,NA,NA
"1803","Don't know how much truth is there in this but if Gupta is criticizing #Modi &amp; #Yogiadityanath then one can safely… https://t.co/BwurEpLlqc",FALSE,0,NA,2018-12-10 16:23:15,TRUE,NA,"1072164852431507456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RanjitSMand",0,FALSE,FALSE,NA,NA
"1804","RT @PNJoshiACM: @AjayKushwaha_ @dineshjk @nanditathhakur @ivishalthacker @BJP4Gujarat @Ar26_27 @navikakumar @ratihegde @natulbj2b @Shubhras…",FALSE,0,NA,2018-12-10 16:22:59,FALSE,NA,"1072164784706007042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tosh_Tiwari",3,TRUE,FALSE,NA,NA
"1805","RT @JhaSanjay: Mr Narendra #Modi, please apologize. We will not let you get away with your cheap barbs again and again. You have humiliated…",FALSE,0,NA,2018-12-10 16:22:28,FALSE,NA,"1072164657559826432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ajitmittayil17",498,TRUE,FALSE,NA,NA
"1806","RT @drshamamohd: Cabinet Minister #UpendraKushwaha quits, saying that PM #Modi did not live upto people's expectations.

He also said inves…",FALSE,0,NA,2018-12-10 16:21:34,FALSE,NA,"1072164428546756608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rangakush",198,TRUE,FALSE,NA,NA
"1807","@prit_inc @Nikhil_P_B Not surprising, people already get the sense- ""on which way, wind is blowing'? If, tomorrow,… https://t.co/TJUssT22Hu",FALSE,1,"prit_inc",2018-12-10 16:21:33,TRUE,"1072001470206115842","1072164427242233859","956610014575173632","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SocioPoliticalW",2,FALSE,FALSE,NA,NA
"1808","RT @NH_India: Attacking the #Modi govt for destroying several institutions of the democracy, ignoring farmers and youth unrest and reducing…",FALSE,0,NA,2018-12-10 16:21:15,FALSE,NA,"1072164351778410497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NK4INC",63,TRUE,FALSE,NA,NA
