"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"237","RT @inquestioner: Nobody in any studio is calling @RahulGandhi , pappu today. Like a wise man had once said,  first they ignore you, then r…",FALSE,0,NA,2018-12-11 11:32:00,FALSE,NA,"1072453945031868417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PremKum49448286",243,TRUE,FALSE,NA,NA
"238","#RahulGandhi Congratulations on BIG WIN !!  PEOPLE OF MP CG RAJASTHAN TELENGANA AND MIZORAM HAS LISTENED YOU SPECIA… https://t.co/f6sAmlUosI",FALSE,0,NA,2018-12-11 11:31:51,TRUE,NA,"1072453908537241600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","otarbus",0,FALSE,FALSE,NA,NA
"239","As he completes one year as #Congress President, @Vandana5 finds #RahulGandhi's report card still in the red. Acrid… https://t.co/Toar2JJah3",FALSE,3,NA,2018-12-11 11:31:17,TRUE,NA,"1072453763749896192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","srijanapiya17",2,FALSE,FALSE,NA,NA
"240","RT @sunilkapoor8: #RahulGandhi ji appeal to Voters :
Your future is with @narendramodi and @BJP4India
@Swamy39 @TajinderBagga
@narendramodi…",FALSE,0,NA,2018-12-11 11:31:16,FALSE,NA,"1072453760323149824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ritikakkapoor",25,TRUE,FALSE,NA,NA
"241","RT @inquestioner: Nobody in any studio is calling @RahulGandhi , pappu today. Like a wise man had once said,  first they ignore you, then r…",FALSE,0,NA,2018-12-11 11:30:48,FALSE,NA,"1072453644283453440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetmeatayush",243,TRUE,FALSE,NA,NA
"242","RT @DailyO_: Congress wins Rajasthan and Chhattisgarh, but Rahul Gandhi's report card is all red | @Vandana5 | https://t.co/0I56go8xbE  

#…",FALSE,0,NA,2018-12-11 11:30:18,FALSE,NA,"1072453518592761857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Naeem72828946",9,TRUE,FALSE,NA,NA
"243","RT @Thesureshsharma: Moral of #AssemblyElections2018

- No more #Modi_wave 
- #EVMs working fine
- #ElectionCommissionOfIndia  is no more #…",FALSE,0,NA,2018-12-11 11:30:17,FALSE,NA,"1072453513756794880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dcchoudhary197",96,TRUE,FALSE,NA,NA
"244","Christmas has come early. #RahulGandhi",FALSE,0,NA,2018-12-11 11:29:52,FALSE,NA,"1072453409134002177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jaswingill",0,FALSE,FALSE,NA,NA
"245","# congratulations to Congress  #Congressulation 
#RahulGandhi 
#JyotiradityaScindia 
#SachinPilot",FALSE,0,NA,2018-12-11 11:29:10,FALSE,NA,"1072453234470604802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeep82519289",0,FALSE,FALSE,NA,NA
"246","RT @sadiquiz: Three (not two) cheers for #RahulGandhi and a big lesson for #Modi. @BobbyNaqvi strikes: In short, the results show, the BJP’…",FALSE,0,NA,2018-12-11 11:28:41,FALSE,NA,"1072453109006381057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chraruk",8,TRUE,FALSE,NA,NA
